iter	MultiClass
0	1.039069227
1	0.8668609394
2	0.739850349
3	0.6476278675
4	0.5767644217
5	0.5297164671
6	0.4929827962
7	0.4484133679
8	0.4167329759
9	0.3855550133
10	0.3617541624
11	0.3400180271
12	0.3208639896
13	0.3038497774
14	0.287511277
15	0.2735831385
16	0.26172246
17	0.2567586479
18	0.2461969666
19	0.2389214322
20	0.2329692398
21	0.2257371248
22	0.213646989
23	0.2083504665
24	0.2026254966
25	0.1990181
26	0.1939013439
27	0.1893387453
28	0.1842304533
29	0.1817663997
30	0.1774472828
31	0.1737642578
32	0.1714652008
33	0.1653828307
34	0.1611174317
35	0.1572796168
36	0.1552188454
37	0.151177213
38	0.1494094977
39	0.1480111291
40	0.1470473395
41	0.14504391
42	0.14366543
43	0.1419284979
44	0.1404957852
45	0.1397671953
46	0.1383342236
47	0.1364190342
48	0.1350371461
49	0.1332782372
50	0.1319541032
51	0.1300031365
52	0.1269946205
53	0.1255982143
54	0.1236766829
55	0.1229177986
56	0.1215710545
57	0.1202609902
58	0.1191409293
59	0.1184230271
60	0.1174607061
61	0.1167584464
62	0.1147087494
63	0.111792738
64	0.11089014
65	0.1103829349
66	0.1079113569
67	0.1069142166
68	0.1055259335
69	0.1033633108
70	0.1026674224
71	0.1018560768
72	0.100659314
73	0.1005019178
74	0.0990686859
75	0.09833336259
76	0.09767161426
77	0.09575522586
78	0.09517733019
79	0.09423447457
80	0.09294632298
81	0.09190596072
82	0.08989068604
83	0.08971982868
84	0.08921307401
85	0.08836995253
86	0.0879239056
87	0.08743398707
88	0.08630819152
89	0.08602830244
90	0.08487010227
91	0.0843268495
92	0.08404713911
93	0.08313934796
94	0.08267109518
95	0.08162358587
96	0.08127544231
97	0.08046831364
98	0.07922627535
99	0.07859210854
100	0.07817703398
101	0.07742923341
102	0.0770253364
103	0.07672783126
104	0.07586350367
105	0.07511477112
106	0.07444836518
107	0.07422170182
108	0.07344006322
109	0.07294010031
110	0.07272333492
111	0.07219907919
112	0.07202770298
113	0.07149969482
114	0.07013136174
115	0.06995361166
116	0.06919861335
117	0.06890165008
118	0.06844739175
119	0.06792175625
120	0.06753820519
121	0.06742088528
122	0.06691123655
123	0.06675670865
124	0.06647324736
125	0.06608654989
126	0.06584931319
127	0.06555593197
128	0.06521897653
129	0.06472764439
130	0.06441331227
131	0.06408251341
132	0.06336530174
133	0.06235168982
134	0.06192388936
135	0.06133426794
136	0.06056241832
137	0.06018132248
138	0.05964233266
139	0.05919227036
140	0.05821782222
141	0.05803681541
142	0.05761191781
143	0.05712221428
144	0.05690999798
145	0.05653031402
146	0.05589989687
147	0.05559357682
148	0.05519872502
149	0.05491225551
150	0.05433546175
151	0.05379615792
152	0.05306062589
153	0.05284460736
154	0.05252071407
155	0.05213129959
156	0.05185203289
157	0.05171098837
158	0.05133154589
159	0.05080298307
160	0.05065888016
161	0.05026287579
162	0.04991645851
163	0.0495715823
164	0.04931067555
165	0.04899909703
166	0.04881298029
167	0.04810248892
168	0.04804574686
169	0.04760308495
170	0.04714225386
171	0.04665440277
172	0.04644302124
173	0.04628758909
174	0.04613465675
175	0.04566171463
176	0.04473968082
177	0.04436172875
178	0.04427116902
179	0.0438318205
180	0.04358844448
181	0.04312767407
182	0.04261068088
183	0.04230820273
184	0.04209559176
185	0.04156670957
186	0.04129073168
187	0.04105603702
188	0.04060682914
189	0.04029243729
190	0.04021225144
191	0.03995576629
192	0.03979400644
193	0.03972863896
194	0.03921534193
195	0.03883820654
196	0.03847721041
197	0.03835432273
198	0.0379693579
199	0.03768482871
200	0.03759409655
201	0.03750897811
202	0.03721874356
203	0.03689300425
204	0.03671156665
205	0.03647192842
206	0.0360110819
207	0.03526141619
208	0.03502762403
209	0.03474381503
210	0.03442545299
211	0.03419962112
212	0.03415337404
213	0.03388165862
214	0.03371842955
215	0.03331821715
216	0.03308500831
217	0.03247630443
218	0.03236219511
219	0.03207665947
220	0.0319413461
221	0.03160672
222	0.03126904612
223	0.03114690338
224	0.03092266522
225	0.03034196839
226	0.03005221952
227	0.02995367906
228	0.02982878401
229	0.02972614559
230	0.02956721832
231	0.02921892151
232	0.02909115104
233	0.02891659518
234	0.02880682776
235	0.02877300425
236	0.02850010028
237	0.02791123728
238	0.02784825631
239	0.02750440052
240	0.02733434789
241	0.02715551177
242	0.02706958775
243	0.02690409699
244	0.0268219077
245	0.02662067422
246	0.02646100493
247	0.02620123053
248	0.02597045485
249	0.02591611852
250	0.02579733293
251	0.02567633137
252	0.02553993624
253	0.02519428558
254	0.02508060539
255	0.02477824599
256	0.02465624243
257	0.02455670173
258	0.02443325503
259	0.02415195403
260	0.02393243621
261	0.02387129923
262	0.02367076902
263	0.02342187998
264	0.02336489038
265	0.02329304488
266	0.02277643175
267	0.02264485881
268	0.02243913014
269	0.0223283537
270	0.02221868724
271	0.02204395953
272	0.02199919427
273	0.02192141019
274	0.02171729118
275	0.02158554133
276	0.02145374973
277	0.02139513307
278	0.02108395613
279	0.02091018322
280	0.02089696602
281	0.02069750078
282	0.02054058235
283	0.02027665416
284	0.02023969171
285	0.02013776957
286	0.01995466119
287	0.01992876317
288	0.01952208661
289	0.01929246178
290	0.01927534887
291	0.01914434552
292	0.01911632405
293	0.01899720366
294	0.01871195716
295	0.01842835072
296	0.01834185167
297	0.01822310258
298	0.01819249232
299	0.01816818602
